"ID de respuesta","Fecha de envío","Última página","Lenguaje inicial","Fecha de inicio","Fecha de la última acción","Dirección IP","URL de referencia","Indique a qué organismo está asociado en el servicio","Rol que ocupa en su organización con respecto al Servicio Corporativo Oracle","¿Cubre el Servicio Corporativo Oracle sus necesidades en cuestión de licencias de productos?","¿Le resulta útil la base de conocimientos de My Oracle Support para encontrar soluciones Vd. mismo?","¿Qué nivel medio de calidad de servicio ha recibido en la resolución de SR?","Valore de forma global el nivel de servicio ofrecido por Soporte Básico, My Oracle Support","Haznos llegar cualquier observación relativa al soporte básico y/o su herramienta (MOS)","Evalúe la relación con el gestor de cuenta asignado a su organismo","Capacitación/conocimientos técnicos del equipo de ingenieros Oracle en la tecnología Oracle utilizada en sus sistemas","Rendimiento/eficiencia del equipo de ingenieros Oracle (si responden en tiempo en relación a los hitos acordados)","Eficacia del equipo de ingenieros Oracle (si su trabajo se ajusta a los objetivos marcados y tiene un planteamiento directo, práctico y útil)","Calidad del equipo de ingenieros Oracle (si se esmeran en la calidad de los resultados)","Accesibilidad/disponibilidad del equipo de ingenieros Oracle. Facilidad de interacción y acceso al equipo técnico","Proactividad del equipo de ingenieros Oracle (envío de alertas sobre parches, propuestas de cambio, etc)","Carácter/Disposición del equipo de ingenieros Oracle (carácter, trato, nivel de motivación, etc.)","Grado de implicación en sus proyectos y nivel de conocimiento de su infraestructura por parte del equipo que presta el Servicio Corporativo Oracle","Evalúe de forma global la cualificación y actitud del equipo de ingenieros Oracle que presta servicio a su organismo","Haznos llegar cualquier observación relativa al equipo de ingenieros de Soporte Avanzado: lo que más valoras, lo que habría que mejorar, etc.","Calidad del servicio recibido en la resolución de Incidencias y Consultas por parte de Soporte Avanzado","¿Cubre el Servicio Corporativo Oracle sus necesidades en relación a las actividades que se ejecutan en los Planes de Soporte?","Calidad de servicio recibido en la ejecución de asistencias especializadas y actividades definidas en el Plan de Soporte por parte de Soporte Avanzado.","Haznos llegar cualquier observación sobre la calidad y alcance de los servicios de Soporte Avanzado, tanto reactivo (incidencias y consultas) como proactivo (planes de soporte)","¿Consideras interesantes o útiles para tu organismo las sesiones de conocimiento propuestas para el 2015?","Evalúe el nivel de servicio recibido en relación a las transferencias de conocimiento","Haznos llegar cualquier observación sobre la actividad de transferencias de conocimiento","Valore de forma global el nivel de servicio ofrecido por los servicios de Soporte Avanzado","Haznos llegar cualquier observación relativa al Soporte Avanzado en general","¿Se considera convenientemente informado sobre acceso, uso, procedimientos, herramientas, convocatorias, campañas del servicio? ¿Recibe las noticias sobre el servicio?","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus consultas o peticiones de carácter general a la Dirección de Proyecto","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus peticiones de Solicitud de Acceso al Servicio por parte de CAU","Comentarios generales o propuestas de mejora sobre el diseño general del servicio","En términos globales ¿Cuál es su valoración de la prestación del Servicio Corporativo Oracle en su Organismo durante el último año?","Observaciones generales sobre el servicio recibido","Tiempo total","Temporización del grupo: Organismo y Rol","Temporización de la pregunta: O1","Temporización de la pregunta: O2","Temporización del grupo: Licencias","Temporización de la pregunta: A1","Temporización del grupo: Soporte Básico (SB)","Temporización de la pregunta: BB1","Temporización de la pregunta: BB2","Temporización de la pregunta: B1","Temporización de la pregunta: B2","Temporización del grupo: Soporte Avanzado (SA) - Equipo Técnico","Temporización de la pregunta: C1","Temporización de la pregunta: CC1","Temporización de la pregunta: CC2","Temporización de la pregunta: CC3","Temporización de la pregunta: CC4","Temporización de la pregunta: CC5","Temporización de la pregunta: CC6","Temporización de la pregunta: CC7","Temporización de la pregunta: C2","Temporización de la pregunta: C3","Temporización de la pregunta: C4","Temporización del grupo: Soporte Avanzado (SA) - Servicio","Temporización de la pregunta: C5","Temporización de la pregunta: C6","Temporización de la pregunta: C7","Temporización de la pregunta: C8","Temporización de la pregunta: C9","Temporización de la pregunta: CC9","Temporización de la pregunta: C10","Temporización de la pregunta: C11","Temporización de la pregunta: C12","Temporización del grupo: General - Diseño del Servicio","Temporización de la pregunta: D1","Temporización de la pregunta: D2","Temporización de la pregunta: D3","Temporización de la pregunta: D4","Temporización del grupo: Valoración global","Temporización de la pregunta: E1","Temporización de la pregunta: E2"
"87","2015-06-02 07:34:39","7","es","2015-06-02 07:34:39","2015-06-02 07:34:39","10.229.46.71","","CMAOT - Consejería de Medio Ambiente y Ordenación del Territorio","Enlace Dinamizador","Totalmente","","","Regular","Hay mucha información pero es difícil encontrar la solución concreta a un problema.","Buena","","","","","","","","Excelente","Excelente","","Normal","Bastante","Buena","","Bastante","","","Buena","El soporte avanzado es algo lento y se echa de menos el diálogo directo con los técnicos.","Bastante","Buena","Buena","","Buena","","885.14","232.81","","","20.99","","78.23","","","","","71.59","","","","","","","","","","","","349.85","","","","","","","","","","91.94","","","","","39.73","",""
"89","2015-06-02 07:42:32","7","es","2015-06-02 07:42:32","2015-06-02 07:42:32","10.244.36.226","","CJI_SGT - Consejería de Justicia e Interior, Secretaría General Técnica","Perfil Técnico","","Bastante","Regular","Regular","Poca atencion en Español.","","Normal","Buena","Buena","Normal","Excelente","","Buena","Normal","Buena","","Buena","Parcialmente","Normal","El aplicativo NAOS esta bastante limitado, problematica con incidencias de un mismo organismo no pueden ser retomadas por todos los miembros del organismo. ","Parcialmente","Regular","","Buena","","Bastante","Normal","","","Normal","Antes se daba una formaciones y charlas mas amenudo.","731.13","54.72","","","","","93.52","","","","","73.41","","","","","","","","","","","","225.81","","","","","","","","","","247.69","","","","","35.98","",""
"90","2015-06-02 07:42:52","7","es","2015-06-02 07:42:52","2015-06-02 07:42:52","10.79.208.241","","AAC - Agencia Andaluza del Conocimiento","Perfil Técnico","","Parcialmente","Excelente","Normal","","","Excelente","Buena","Buena","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Tienen un trato cercano que permite un mejor trabajo y mucha implicación en la resolución de los problemas","Buena","Totalmente","Excelente","","Parcialmente","Buena","","Excelente","","Bastante","Buena","","","Excelente","","207.96","9.57","","","","","27.77","","","","","95.46","","","","","","","","","","","","45.96","","","","","","","","","","18.41","","","","","10.79","",""
"91","2015-06-02 07:44:59","7","es","2015-06-02 07:44:59","2015-06-02 07:44:59","10.244.249.4","","AAE - Agencia Andaluza de la Energía","Enlace Dinamizador","Totalmente","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","Excelente","Bastante","Buena","","Bastante","","","Excelente","","Bastante","Buena","Buena","","Buena","","133.75","17.13","","","15.65","","10.1","","","","","16.63","","","","","","","","","","","","35.86","","","","","","","","","","28.23","","","","","10.15","",""
"92","","","es","2015-06-02 07:48:18","2015-06-02 07:48:18","10.228.15.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","","","es","2015-06-02 08:06:14","2015-06-02 08:06:14","10.229.43.147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","2015-06-02 08:07:45","7","es","2015-06-02 08:07:45","2015-06-02 08:07:45","10.229.43.147","","CMAOT - Consejería de Medio Ambiente y Ordenación del Territorio","Enlace Dinamizador","Bastante","","","Regular","Muestra un volumen de información atosigante, que es casí imposible de descifrar.","Buena","","","","","","","","Excelente","Excelente","","Buena","Bastante","Buena","","Bastante","","","Buena","","Bastante","Buena","Buena","","Buena","","400.86","20.07","","","5.24","","257.5","","","","","24.56","","","","","","","","","","","","50.91","","","","","","","","","","30.84","","","","","11.74","",""
"95","2015-06-02 08:08:28","7","es","2015-06-02 08:08:28","2015-06-02 08:08:28","150.214.4.132","","CICA - Centro Informático Científico de Andalucía","Perfil Técnico","","Parcialmente","Buena","Buena","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Encuesta según experiencia con el anterior técnico Enrique. Sobre la nueva ingeniera asignada aun no tenemos experiencia.","Excelente","Totalmente","Excelente","","Totalmente","Excelente","","Excelente","","Totalmente","Excelente","","","Excelente","","278.73","14.87","","","","","23.25","","","","","104.03","","","","","","","","","","","","105.71","","","","","","","","","","12.72","","","","","18.15","",""
"96","2015-06-02 08:12:58","7","es","2015-06-02 08:12:58","2015-06-02 08:12:58","10.118.85.82, 10.225.224.151","","CISPS - Consejería de Igualdad, Salud y Políticas Sociales","Perfil Técnico","","Totalmente","Buena","Excelente","","","Excelente","Excelente","Excelente","Excelente","Buena","Normal","Excelente","Buena","Excelente","","Excelente","Bastante","Excelente","","Bastante","Buena","Necesidades de transferencia de conocimiento o taller práctico en RAC","Excelente","","Bastante","Buena","","","Buena","","256.86","23.2","","","","","37.83","","","","","82.64","","","","","","","","","","","","74.58","","","","","","","","","","26.91","","","","","11.7","",""
"97","2015-06-02 08:45:23","7","es","2015-06-02 08:45:23","2015-06-02 08:45:23","10.187.67.94","","EPES - Empresa Pública de Emergencias Sanitarias","Perfil Técnico","","Parcialmente","Buena","Buena","","","Buena","Buena","Buena","Buena","Buena","Normal","Excelente","Buena","Buena","","Buena","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Buena","","","Normal","","123.97","24.66","","","","","20.21","","","","","31.17","","","","","","","","","","","","31.64","","","","","","","","","","7.38","","","","","8.91","",""
"98","2015-06-02 08:47:50","7","es","2015-06-02 08:47:50","2015-06-02 08:47:50","10.14.64.10","","APESPO - Agencia Pública Sanitaria Hospital del Poniente","Enlace Dinamizador","Bastante","","","Excelente","","Excelente","","","","","","","","Excelente","Excelente","","","Totalmente","Buena","","Totalmente","","","Excelente","","Bastante","Excelente","Buena","","Excelente","","97.16","22.31","","","8.22","","11.03","","","","","8.07","","","","","","","","","","","","23.64","","","","","","","","","","18.01","","","","","5.88","",""
"99","2015-06-02 09:55:45","7","es","2015-06-02 09:55:45","2015-06-02 09:55:45","10.228.15.20","","CALRI - Consejería de Administración Local y Relaciones Institucionales","Perfil Técnico","","Bastante","Normal","Buena","","","Excelente","Buena","Excelente","Buena","Excelente","Normal","Excelente","Buena","Buena","","Excelente","Totalmente","Buena","","Totalmente","Excelente","","Excelente","","Totalmente","Excelente","","","Buena","","190.24","16.02","","","","","46.3","","","","","52.86","","","","","","","","","","","","49.58","","","","","","","","","","16.19","","","","","9.29","",""
"100","2015-06-02 10:01:27","7","es","2015-06-02 10:01:27","2015-06-02 10:01:27","10.237.24.92","","AAIICC - Agencia Andaluza de Instituciones Culturales","Representante","Totalmente","","","Buena","","Buena","","","","","","","","Buena","Buena","","Buena","Bastante","Buena","","Totalmente","","","Buena","","Totalmente","Normal","Normal","","Buena","","108.81","19.15","","","8.32","","8.27","","","","","13.15","","","","","","","","","","","","30.15","","","","","","","","","","23.6","","","","","6.17","",""
"101","2015-06-02 10:01:33","7","es","2015-06-02 10:01:33","2015-06-02 10:01:33","10.238.105.107","","CEICE - Consejería de Economía, Innovación, Ciencia y Empleo","Perfil Técnico","","Bastante","Normal","Buena","","","Buena","","Buena","Excelente","Buena","Normal","Buena","Buena","Buena","","","Bastante","Buena","","Bastante","Buena","","Buena","","Parcialmente","Normal","","","Buena","","2838.51","15.03","","","","","16.3","","","","","41.65","","","","","","","","","","","","386.25","","","","","","","","","","2372.82","","","","","6.46","",""
"102","","6","es","2015-06-02 11:01:46","2015-06-02 11:01:46","10.168.6.30, 10.169.0.7, 10.235.52.201","","ASAG - Agencia Sanitaria del Alto Guadalquivir","Enlace Dinamizador","Bastante","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","Excelente","Totalmente","Excelente","","Totalmente","","","Buena","","Bastante","Buena","Normal","","","","497.47","294.7","","","26.9","","28.94","","","","","67.57","","","","","","","","","","","","45.6","","","","","","","","","","33.76","","","","","","",""
"103","2015-06-03 11:03:54","7","es","2015-06-03 11:03:54","2015-06-03 11:03:54","10.245.208.111","","ASBG - Agencia Sanitaria del Bajo Guadalquivir","Enlace Dinamizador","Bastante","","","Buena","","Excelente","","","","","","","","Buena","Buena","","Buena","Bastante","Buena","","Totalmente","","","Buena","","Bastante","Buena","Buena","","Buena","","186.78","26.19","","","10.03","","13.07","","","","","28.09","","","","","","","","","","","","36.61","","","","","","","","","","54.94","","","","","17.85","",""
"104","2015-06-03 12:54:20","7","es","2015-06-03 12:54:20","2015-06-03 12:54:20","10.243.196.15","","ASSDA - Agencia de Servicios Sociales y Dependencia de Andalucía","Enlace Dinamizador","Totalmente","","","Buena","","Buena","","","","","","","","Excelente","Excelente","","Excelente","Bastante","Excelente","","Totalmente","","","Excelente","Se ha reducido enormente su alcance, con el consiguiente perjucio para todos los organismos.","Totalmente","Excelente","Excelente","","Buena","","429.38","11.72","","","9.94","","14.01","","","","","28.42","","","","","","","","","","","","314.05","","","","","","","","","","44.84","","","","","6.4","",""
"105","","2","es","2015-06-05 08:35:18","2015-06-05 08:35:18","10.226.101.111","","CECD_CUL - Consejería de Educación, Cultura y Deporte, Área de Cultura","Enlace Dinamizador","Bastante","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181.15","30.97","","","150.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","2015-06-05 10:23:37","7","es","2015-06-05 10:23:37","2015-06-05 10:23:37","10.237.209.63, 10.237.193.49","","AVRA - Agencia de Vivienda y Rehabilitación de Andalucía","Enlace Dinamizador","Bastante","","","","Son nuestros técnicos los que tienen un contacto más directo tanto con el soporte básico como con la herramienta MOS. No dispongo de elementos para valorar este aspecto con objetividad.","Buena","","","","","","","","Normal","Buena","-","Normal","Bastante","Buena","La gestión de actuaciones programadas y la información del servicio prestado es hasta el momento satisfactoria.","Totalmente","","Me parece muy acertada la incoporación de Red Profesional. En nuestro caso, estando incluso en Sevilla, este medio nos ha permitido asistir parcial o totalmente a todas las sesiones organizadas.

Enhorabuena.","Buena","La sensación que me transmiten los técnicos es buena en lo que respecta a este servicio. En nuestro caso, los ajustes en dedicación derivados de la reducción de ppto del contrato actual no nos han afectado excesivamente. En este sentido, estamos satisfechos.","Totalmente","","","-","Normal","-","587.5","25.81","","","23.65","","65.4","","","","","69.72","","","","","","","","","","","","288.67","","","","","","","","","","65.81","","","","","48.44","",""

